time_s
0.01049
0.01555
0.01559
0.03533
0.03847
0.04081
0.04536
0.05747
0.05830
0.06140
0.07510
0.07990
0.09937
0.12057
0.12224
0.14511
0.14647
0.14764
0.14988
0.15069
0.15798
0.16164
0.16484
0.18861
0.19457
0.19504
0.20205
0.20472
0.21071
0.21082
0.21768
0.22096
0.23411
0.23553
0.24436
0.24814
0.24968
0.25069
0.25783
0.26600
0.26659
0.27083
0.28691
0.29809
0.29936
0.30115
0.30892
0.31127
0.33638
0.33699
0.33849
0.34217
0.35031
0.35781
0.35874
0.35901
0.36285
0.36296
0.36482
0.36772
0.36868
0.38071
0.38728
0.40009
0.40297
0.40883
0.41167
0.41281
0.41603
0.42026
0.42928
0.43325
0.44021
0.44058
0.45497
0.45568
0.45779
0.45833
0.45984
0.46804
0.47390
0.47531
0.48281
0.48359
0.48789
0.49040
0.49160
0.49225
0.49480
0.49545
0.49965
0.50006
0.52069
0.53033
0.53139
0.53218
0.53331
0.53518
0.54267
0.54411
0.54643
0.55400
0.56921
0.57055
0.57357
0.57411
0.57860
0.59377
0.59944
0.60155
0.60332
0.60618
0.60843
0.61231
0.62026
0.63554
0.64230
0.65337
0.65511
0.66014
0.66611
0.67170
0.67468
0.68843
0.69078
0.69403
0.70858
0.71309
0.71375
0.71409
0.72216
0.72224
0.72841
0.73146
0.73185
0.73213
0.73344
0.73927
0.73954
0.74835
0.75256
0.75292
0.75763
0.76036
0.77012
0.77674
0.78033
0.79161
0.79429
0.79657
0.79756
0.79808
0.79990
0.80002
0.80423
0.81314
0.85299
0.85568
0.87145
0.87582
0.87955
0.89379
0.90079
0.90140
0.90762
0.90800
0.90841
0.91475
0.91635
0.92108
0.93026
0.93206
0.93228
0.93475
0.94172
0.94896
0.95016
0.95602
0.95928
0.96549
0.96672
0.97114
0.97931
0.98304
0.98569
0.99161
0.99443
0.99950
1.00672
1.01101
1.01742
1.02868
1.03437
1.04521
1.04747
1.05156
1.05402
1.06106
1.06485
1.08029
